#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]           22:delta_scf             23:theta_scf          
       7.089998494069e+00       1.550995080663e-05      -1.658143948383e-03      -9.719635914051e-08       3.984687166640e-08       9.961717916600e-08       1.053833855066e-13       1.992343583320e-08      -1.243607961287e-03      -9.719635914041e-08       6.010714401533e-01       6.968945835965e-01      -1.658143948336e-03      -1.457246020578e-07       2.008399059397e-04      -1.243607961358e-03       1.756510182283e-44      -1.659852279517e-03      -1.458748989207e-07       2.010466031884e-04       3.333325968256e-01      -1.601648742243e-13      -3.132969023189e-20 
       7.089999221661e+00       1.550995241877e-05      -1.658144286837e-03      -9.719638888469e-08       3.984688401857e-08       9.961721004643e-08       1.053834400820e-13       1.992344200929e-08      -1.243608215128e-03      -9.719638888451e-08       6.010714401471e-01       6.968945832882e-01      -1.658144286743e-03      -1.457246468321e-07       2.008399470517e-04      -1.243608215269e-03       7.574486583012e-44      -1.659852618273e-03      -1.458749437410e-07       2.010466443426e-04       3.333325968254e-01      -3.203296644140e-13      -9.888020063918e-20 
       7.089999949254e+00       1.550995403090e-05      -1.658144625291e-03      -9.719641862889e-08       3.984689637075e-08       9.961724092687e-08       1.053834946574e-13       1.992344818537e-08      -1.243608468968e-03      -9.719641862861e-08       6.010714401409e-01       6.968945829798e-01      -1.658144625150e-03      -1.457246916064e-07       2.008399881638e-04      -1.243608469181e-03       1.988731836169e-43      -1.659852957028e-03      -1.458749885613e-07       2.010466854968e-04       3.333325968253e-01      -4.804943702130e-13      -2.034151221407e-19 
       7.090007225177e+00       1.550997015221e-05      -1.658148009838e-03      -9.719671607136e-08       3.984701989254e-08       9.961754973134e-08       1.053840404124e-13       1.992350994627e-08      -1.243611007378e-03      -9.719671607013e-08       6.010714400793e-01       6.968945798970e-01      -1.658148009226e-03      -1.457251393502e-07       2.008403992843e-04      -1.243611008298e-03       2.528111991233e-41      -1.659856344583e-03      -1.458754367653e-07       2.010470970392e-04       3.333325968237e-01      -2.082136247363e-12      -4.439469244688e-18 
       7.090014501101e+00       1.550998627353e-05      -1.658151394388e-03      -9.719701351442e-08       3.984714341459e-08       9.961785853648e-08       1.053845861697e-13       1.992357170730e-08      -1.243613545791e-03      -9.719701351225e-08       6.010714400176e-01       6.968945768141e-01      -1.658151393305e-03      -1.457255870948e-07       2.008408104053e-04      -1.243613547417e-03       9.819429106969e-41      -1.659859732142e-03      -1.458758849701e-07       2.010475085821e-04       3.333325968222e-01      -3.683769716915e-12      -1.230661270142e-17 
       7.090021777024e+00       1.551000239485e-05      -1.658154778941e-03      -9.719731095808e-08       3.984726693690e-08       9.961816734226e-08       1.053851319293e-13       1.992363346845e-08      -1.243616084206e-03      -9.719731095497e-08       6.010714399559e-01       6.968945737312e-01      -1.658154777387e-03      -1.457260348404e-07       2.008412215267e-04      -1.243616086540e-03       2.434253028083e-40      -1.659863119705e-03      -1.458763331759e-07       2.010479201253e-04       3.333325968207e-01      -5.285394746856e-12      -2.387359427998e-17 
       7.090062178413e+00       1.551009191250e-05      -1.658173572580e-03      -9.719896259887e-08       3.984795283048e-08       9.961988207619e-08       1.053881624381e-13       1.992397641524e-08      -1.243630179435e-03      -9.719896259051e-08       6.010714396112e-01       6.968945566103e-01      -1.658173568412e-03      -1.457285210754e-07       2.008435043885e-04      -1.243630185696e-03       3.782584704456e-39      -1.659881930052e-03      -1.458788219664e-07       2.010502053295e-04       3.333325968122e-01      -1.417866717099e-11      -1.517651233694e-16 
       7.090102579801e+00       1.551018143017e-05      -1.658192366322e-03      -9.720061425792e-08       3.984863873213e-08       9.962159683033e-08       1.053911930175e-13       1.992431936607e-08      -1.243644274742e-03      -9.720061424432e-08       6.010714392653e-01       6.968945394881e-01      -1.658192359540e-03      -1.457310073382e-07       2.008457872631e-04      -1.243644284930e-03       1.424286037728e-38      -1.659900740503e-03      -1.458813107847e-07       2.010524905464e-04       3.333325968037e-01      -2.307168012753e-11      -3.921446941506e-16 
       7.090142981190e+00       1.551027094785e-05      -1.658211160170e-03      -9.720226593547e-08       3.984932464176e-08       9.962331160440e-08       1.053942236670e-13       1.992466232088e-08      -1.243658370127e-03      -9.720226591662e-08       6.010714389191e-01       6.968945223656e-01      -1.658211150773e-03      -1.457334936290e-07       2.008480701505e-04      -1.243658384242e-03       3.564037756907e-38      -1.659919551059e-03      -1.458837996311e-07       2.010547757762e-04       3.333325967952e-01      -3.196443297514e-11      -7.464059902380e-16 
       7.090183382578e+00       1.551036046554e-05      -1.658229954123e-03      -9.720391763159e-08       3.985001055932e-08       9.962502639830e-08       1.053972543865e-13       1.992500527966e-08      -1.243672465592e-03      -9.720391760749e-08       6.010714385728e-01       6.968945052429e-01      -1.658229942112e-03      -1.457359799480e-07       2.008503530508e-04      -1.243672483634e-03       7.218730525419e-38      -1.659938361720e-03      -1.458862885057e-07       2.010570610190e-04       3.333325967867e-01      -4.085692549368e-11      -1.215039602478e-15 
