#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]           22:delta_scf             23:theta_scf          
       7.090225608997e+00       1.551095746138e-05      -1.658205543863e-03      -9.718713784662e-08       3.922317879026e-08       9.805794697565e-08       1.021070905973e-13       1.961158939513e-08      -1.243654157897e-03      -9.718713784652e-08       6.010715129380e-01       6.968872475190e-01      -1.658205543816e-03      -1.457363760065e-07       2.008513487430e-04      -1.243654157968e-03       1.756292359992e-36      -1.659913938060e-03      -1.458866849988e-07       2.010580576913e-04       3.333325967300e-01      -1.020418853947e-09      -3.132806394046e-20 
       7.090226336568e+00       1.551095907357e-05      -1.658205882306e-03      -9.718716758433e-08       3.922319094857e-08       9.805797737141e-08       1.021071434740e-13       1.961159547428e-08      -1.243654411729e-03      -9.718716758414e-08       6.010715129321e-01       6.968872472103e-01      -1.658205882211e-03      -1.457364207815e-07       2.008513898548e-04      -1.243654411871e-03       7.573547281863e-36      -1.659914276803e-03      -1.458867298198e-07       2.010580988453e-04       3.333325967298e-01      -2.040837603832e-09      -9.887506787172e-20 
       7.090227064140e+00       1.551096068576e-05      -1.658206220748e-03      -9.718719732205e-08       3.922320310687e-08       9.805800776719e-08       1.021071963507e-13       1.961160155344e-08      -1.243654665561e-03      -9.718719732176e-08       6.010715129262e-01       6.968872469016e-01      -1.658206220607e-03      -1.457364655565e-07       2.008514309667e-04      -1.243654665773e-03       1.988485216403e-35      -1.659914615547e-03      -1.458867746408e-07       2.010581399994e-04       3.333325967296e-01      -3.061256247387e-09      -2.034045630755e-19 
       7.090234339856e+00       1.551097680766e-05      -1.658209605178e-03      -9.718749469975e-08       3.922332469000e-08       9.805831172501e-08       1.021077251187e-13       1.961166234500e-08      -1.243657203884e-03      -9.718749469852e-08       6.010715128675e-01       6.968872438153e-01      -1.658209604566e-03      -1.457369133070e-07       2.008518420855e-04      -1.243657204803e-03       2.527798483633e-33      -1.659918002984e-03      -1.458872228514e-07       2.010585515398e-04       3.333325967281e-01      -1.326543339824e-08      -4.439238796473e-18 
       7.090241615573e+00       1.551099292956e-05      -1.658212989612e-03      -9.718779207804e-08       3.922344627339e-08       9.805861568347e-08       1.021082538890e-13       1.961172313669e-08      -1.243659742209e-03      -9.718779207587e-08       6.010715128089e-01       6.968872407290e-01      -1.658212988529e-03      -1.457373610584e-07       2.008522532047e-04      -1.243659743835e-03       9.818211413309e-33      -1.659921390425e-03      -1.458876710629e-07       2.010589630807e-04       3.333325967266e-01      -2.346960011628e-08      -1.230597387821e-17 
       7.090248891289e+00       1.551100905146e-05      -1.658216374049e-03      -9.718808945693e-08       3.922356785703e-08       9.805891964258e-08       1.021087826615e-13       1.961178392852e-08      -1.243662280537e-03      -9.718808945381e-08       6.010715127502e-01       6.968872376426e-01      -1.658216372494e-03      -1.457378088107e-07       2.008526643243e-04      -1.243662282870e-03       2.433951159746e-32      -1.659924777869e-03      -1.458881192753e-07       2.010593746219e-04       3.333325967251e-01      -3.367375619727e-08      -2.387235502749e-17 
       7.090277427915e+00       1.551107228436e-05      -1.658229648430e-03      -9.718925583410e-08       3.922404473190e-08       9.806011182975e-08       1.021108566210e-13       1.961202236595e-08      -1.243672236322e-03      -9.718925582728e-08       6.010715125184e-01       6.968872255357e-01      -1.658229645028e-03      -1.457395649815e-07       2.008542768109e-04      -1.243672241429e-03       2.016398946875e-31      -1.659938064044e-03      -1.458898772506e-07       2.010609887622e-04       3.333325967190e-01      -7.369613845763e-08      -1.023244963683e-16 
       7.090305964541e+00       1.551113551727e-05      -1.658242922862e-03      -9.719042222032e-08       3.922452161077e-08       9.806130402693e-08       1.021129306147e-13       1.961226080539e-08      -1.243682192147e-03      -9.719042220979e-08       6.010715122860e-01       6.968872134279e-01      -1.658242917613e-03      -1.457413211660e-07       2.008558893037e-04      -1.243682200027e-03       6.584633967339e-31      -1.659951350271e-03      -1.458916352396e-07       2.010626029088e-04       3.333325967130e-01      -1.137183606396e-07      -2.364945270934e-16 
       7.090334501168e+00       1.551119875018e-05      -1.658256197347e-03      -9.719158861573e-08       3.922499849356e-08       9.806249623391e-08       1.021150046423e-13       1.961249924678e-08      -1.243692148010e-03      -9.719158860150e-08       6.010715120532e-01       6.968872013199e-01      -1.658256190251e-03      -1.457430773644e-07       2.008575018029e-04      -1.243692158664e-03       1.537259449514e-30      -1.659964636551e-03      -1.458933932426e-07       2.010642170619e-04       3.333325967070e-01      -1.537404198423e-07      -4.273597190157e-16 
       7.090363037794e+00       1.551126198311e-05      -1.658269471884e-03      -9.719275502041e-08       3.922547538025e-08       9.806368845062e-08       1.021170787037e-13       1.961273769012e-08      -1.243702103913e-03      -9.719275500248e-08       6.010715118205e-01       6.968871892119e-01      -1.658269462941e-03      -1.457448335769e-07       2.008591143086e-04      -1.243702117340e-03       2.986652559572e-30      -1.659977922882e-03      -1.458951512597e-07       2.010658312213e-04       3.333325967010e-01      -1.937623150423e-07      -6.752655922715e-16 
