# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_scf            17:(.)p_scf              18:(.)w_scf              19:(.)Om                 20:(.)Our                21:(.)Oscf               22:(.)OscfKin            23:(.)Otot               24:phi_scf               25:phi'_scf              26:V_scf                 27:V'_scf                28:V''_scf               29:gr.fac. D             30:gr.fac. f             31:beta                  32:dbeta/dz           
       1.000000000000e+14       7.551816580179e-26       4.631147021428e-09       2.159456430289e+22       1.436701397574e+04       1.436701397574e-10       1.436701397574e+18       2.673590729091e-09       2.751560535470e+44       2.533504177634e+33       1.337405367376e+34       6.331470950076e+43       2.110490316692e+43       1.278544443680e+44       4.663252074316e+44       5.527812500000e+20       5.527812500000e+20       1.000000000000e+00       3.411258408914e-11       8.642262770538e-01       1.185398604216e-24       1.185398604216e-24       8.642262770879e-01       1.568700000000e-03       3.325000000000e-04       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       5.112068039869e-20       2.000000000000e+14       7.071067812069e-08       0.000000000000e+00 
       9.930486593843e+13       7.657912051314e-26       4.663888830692e-09       2.129538543294e+22       1.436701397574e+04       1.446758307357e-10       1.426714396796e+18       2.692305864194e-09       2.675846458098e+44       2.481036840571e+33       1.309708512238e+34       6.157249276517e+43       2.052416425506e+43       1.243363021471e+44       4.534934407377e+44       5.301228205307e+20       5.301228205307e+20       1.000000000000e+00       3.435137217776e-11       8.642262770536e-01       1.168975718080e-24       1.168975718080e-24       8.642262770879e-01       1.568700000011e-03       3.278934326992e-04       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       7.131962408095e-08       1.433565615564e+02       7.071067812069e-08       0.000000000000e+00 
       9.861456399050e+13       7.765498057723e-26       4.696630639955e-09       2.100035149480e+22       1.436701397574e+04       1.456885615508e-10       1.416796819063e+18       2.711152005244e-09       2.602215788102e+44       2.429656070281e+33       1.282585242195e+34       5.987821621879e+43       1.995940540626e+43       1.209149678608e+44       4.410147629050e+44       5.083931573771e+20       5.083931573771e+20       1.000000000000e+00       3.459183178299e-11       8.642262770534e-01       1.152780360522e-24       1.152780360522e-24       8.642262770879e-01       1.568700000021e-03       3.233506864406e-04       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.426392481618e-07       7.167828077820e+01       7.071067812069e-08       0.000000000000e+00 
       9.792906056653e+13       7.874595539936e-26       4.729372449219e-09       2.070940506307e+22       1.436701397574e+04       1.467083814817e-10       1.406948181790e+18       2.730130069280e-09       2.530611196824e+44       2.379339364624e+33       1.256023678646e+34       5.823056070214e+43       1.941018690071e+43       1.175877776667e+44       4.288794580662e+44       4.875541905101e+20       4.875541905101e+20       1.000000000000e+00       3.483397460547e-11       8.642262770531e-01       1.136809379280e-24       1.136809379280e-24       8.642262770880e-01       1.568700000032e-03       3.188708770245e-04       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       2.139588722427e-07       4.778552051880e+01       7.071067812069e-08       0.000000000000e+00 
       9.724832231036e+13       7.985225732677e-26       4.762114258483e-09       2.042248950797e+22       1.436701397574e+04       1.477353401520e-10       1.397168005750e+18       2.749240979765e-09       2.460976933110e+44       2.330064687466e+33       1.230012188991e+34       5.662824335475e+43       1.887608111825e+43       1.143521410229e+44       4.170780777033e+44       4.675694103870e+20       4.675694103870e+20       1.000000000000e+00       3.507781242770e-11       8.642262770529e-01       1.121059665763e-24       1.121059665763e-24       8.642262770880e-01       1.568700000042e-03       3.144531325012e-04       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       2.852784963236e-07       3.583914038910e+01       7.071067812069e-08       0.000000000000e+00 
       9.657231609767e+13       8.097410168995e-26       4.794856067747e-09       2.013954898430e+22       1.436701397574e+04       1.487694875331e-10       1.387455815044e+18       2.768485666624e-09       2.393258779894e+44       2.281810459027e+33       1.204539381533e+34       5.507001661632e+43       1.835667220544e+43       1.112055386708e+44       4.056014332908e+44       4.484038039876e+20       4.484038039876e+20       1.000000000000e+00       3.532335711468e-11       8.642262770527e-01       1.105528154448e-24       1.105528154448e-24       8.642262770880e-01       1.568700000053e-03       3.100965930013e-04       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       3.565981204045e-07       2.867131231128e+01       7.071067812069e-08       0.000000000000e+00 
       9.590100903443e+13       8.211170684459e-26       4.829416866414e-09       1.986052842052e+22       1.436701397574e+04       1.498108739458e-10       1.377811137085e+18       2.787865066290e-09       2.327404011992e+44       2.234555546434e+33       1.179594100489e+34       5.355466725541e+43       1.785155575180e+43       1.081455206735e+44       3.944405891422e+44       4.300237934716e+20       4.300237934716e+20       1.000000000000e+00       3.557062061447e-11       8.642262770525e-01       1.090211822284e-24       1.090211822284e-24       8.642262770881e-01       1.568700000063e-03       3.058004105684e-04       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       4.279177444853e-07       2.389276025940e+01       7.071067812069e-08       0.000000000000e+00 
       9.523436845525e+13       8.326529421405e-26       4.862158675678e-09       1.958537350811e+22       1.436701397574e+04       1.508595500634e-10       1.368233502567e+18       2.807380121754e-09       2.263361355047e+44       2.188279254461e+33       1.155165421107e+34       5.208101542478e+43       1.736033847493e+43       1.051697045088e+44       3.835868554520e+44       4.123971773511e+20       4.123971773511e+20       1.000000000000e+00       3.581961495877e-11       8.642262770523e-01       1.075107688102e-24       1.075107688102e-24       8.642262770881e-01       1.568700000073e-03       3.015637489940e-04       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       4.992373685662e-07       2.047950879377e+01       7.071067812069e-08       0.000000000000e+00 
       9.457236192179e+13       8.443508833246e-26       4.896719474345e-09       1.931403069093e+22       1.436701397574e+04       1.519155669139e-10       1.358722445449e+18       2.827031782606e-09       2.201080945604e+44       2.142961316466e+33       1.131242644880e+34       5.064791374280e+43       1.688263791427e+43       1.022757732136e+44       3.730317815302e+44       3.954930740737e+20       3.954930740737e+20       1.000000000000e+00       3.607035226347e-11       8.642262770521e-01       1.060212812033e-24       1.060212812033e-24       8.642262770881e-01       1.568700000084e-03       2.973857836546e-04       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       5.705569926470e-07       1.791957019455e+01       7.071067812069e-08       0.000000000000e+00 
       9.391495722125e+13       8.562131688844e-26       4.931280273013e-09       1.904644715485e+22       1.436701397574e+04       1.529789758823e-10       1.349277502928e+18       2.846821005084e-09       2.140514292293e+44       2.098581885519e+33       1.107815294859e+34       4.925424640007e+43       1.641808213336e+43       9.946147358015e+43       3.627671492227e+44       3.792818679185e+20       3.792818679185e+20       1.000000000000e+00       3.632284472930e-11       8.642262770519e-01       1.045524294940e-24       1.045524294940e-24       8.642262770882e-01       1.568700000094e-03       2.932657013515e-04       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       6.418766167279e-07       1.592850683960e+01       7.071067812069e-08       0.000000000000e+00 
